COG0012.mOTU.v2.0004425	ref_mOTU_v2_3734
COG0012.mOTU.v2.0002660	meta_mOTU_v2_7019
COG0525.mOTU.v2.0004139	ref_mOTU_v2_3346
COG0012.mOTU.v2.0005678	ref_mOTU_v2_4986
COG0016.mOTU.v2.0001819	meta_mOTU_v2_6760
COG0215.mOTU.v2.0004962	ref_mOTU_v2_3978
COG0018.mOTU.v2.0003392	meta_mOTU_v2_7549
COG0533.mOTU.v2.0003831	ref_mOTU_v2_4697
COG0552.mOTU.v2.0001169	ref_mOTU_v2_1527
COG0215.mOTU.v2.0007886	meta_mOTU_v2_5559
COG0552.mOTU.v2.0006589	ref_mOTU_v2_3804
COG0533.mOTU.v2.0003998	ref_mOTU_v2_4914
COG0172.mOTU.v2.0003871	ref_mOTU_v2_4295
COG0525.mOTU.v2.0006244	ref_mOTU_v2_3298
COG0533.mOTU.v2.0008448	meta_mOTU_v2_5673
COG0016.mOTU.v2.0005031	ref_mOTU_v2_1452
COG0525.mOTU.v2.0004263	ref_mOTU_v2_0808
COG0016.mOTU.v2.0007852	meta_mOTU_v2_6246
COG0533.mOTU.v2.0005793	ref_mOTU_v2_1594
COG0018.mOTU.v2.0003610	ref_mOTU_v2_4159
COG0533.mOTU.v2.0005254	ref_mOTU_v2_4146
COG0172.mOTU.v2.0004866	ref_mOTU_v2_1787
COG0016.mOTU.v2.0005315	ref_mOTU_v2_3085
COG0172.mOTU.v2.0007215	ref_mOTU_v2_2555
COG0012.mOTU.v2.0000756	ref_mOTU_v2_3198
COG0018.mOTU.v2.0005463	ref_mOTU_v2_2148
COG0018.mOTU.v2.0005052	ref_mOTU_v2_4919
COG0525.mOTU.v2.0004087	ref_mOTU_v2_3942
COG0018.mOTU.v2.0000234	ref_mOTU_v2_0724
COG0018.mOTU.v2.0006526	ref_mOTU_v2_2789
COG0215.mOTU.v2.0005124	ref_mOTU_v2_2416
COG0016.mOTU.v2.0005617	ref_mOTU_v2_0672
COG0012.mOTU.v2.0008371	meta_mOTU_v2_7299
COG0495.mOTU.v2.0004198	ref_mOTU_v2_2538
COG0525.mOTU.v2.0005668	ref_mOTU_v2_2877
COG0172.mOTU.v2.0007016	ref_mOTU_v2_3205
COG0012.mOTU.v2.0004011	ref_mOTU_v2_0426
COG0552.mOTU.v2.0004555	ref_mOTU_v2_2367
COG0495.mOTU.v2.0003855	ref_mOTU_v2_4135
COG0012.mOTU.v2.0007298	meta_mOTU_v2_5738
COG0541.mOTU.v2.0003295	ref_mOTU_v2_4566
COG0533.mOTU.v2.0006289	ref_mOTU_v2_2605
COG0495.mOTU.v2.0009178	meta_mOTU_v2_5625
COG0018.mOTU.v2.0006730	ref_mOTU_v2_4454
COG0541.mOTU.v2.0007056	meta_mOTU_v2_6601
COG0541.mOTU.v2.0002491	meta_mOTU_v2_6246
COG0016.mOTU.v2.0007347	ref_mOTU_v2_1569
COG0533.mOTU.v2.0006062	ref_mOTU_v2_2479
COG0541.mOTU.v2.0007152	meta_mOTU_v2_7574
COG0018.mOTU.v2.0003712	ref_mOTU_v2_2312
COG0018.mOTU.v2.0000604	ref_mOTU_v2_4412
COG0172.mOTU.v2.0008093	meta_mOTU_v2_7160
COG0012.mOTU.v2.0005465	ref_mOTU_v2_2424
COG0495.mOTU.v2.0001650	meta_mOTU_v2_5339
COG0215.mOTU.v2.0005066	ref_mOTU_v2_1814
COG0215.mOTU.v2.0006208	ref_mOTU_v2_5161
COG0533.mOTU.v2.0006839	ref_mOTU_v2_2590
COG0018.mOTU.v2.0002166	meta_mOTU_v2_5670
COG0541.mOTU.v2.0004166	ref_mOTU_v2_1291
COG0172.mOTU.v2.0006840	ref_mOTU_v2_2550
COG0172.mOTU.v2.0003232	meta_mOTU_v2_5645
COG0552.mOTU.v2.0000294	ref_mOTU_v2_0654
COG0533.mOTU.v2.0007380	meta_mOTU_v2_5510
COG0018.mOTU.v2.0002532	meta_mOTU_v2_6943
COG0525.mOTU.v2.0003309	ref_mOTU_v2_3905
COG0495.mOTU.v2.0008621	meta_mOTU_v2_6378
COG0012.mOTU.v2.0002028	meta_mOTU_v2_7718
COG0018.mOTU.v2.0006536	ref_mOTU_v2_2285
COG0016.mOTU.v2.0009816	meta_mOTU_v2_7194
COG0018.mOTU.v2.0004241	ref_mOTU_v2_4445
COG0012.mOTU.v2.0005753	ref_mOTU_v2_4737
COG0533.mOTU.v2.0002325	meta_mOTU_v2_7239
COG0172.mOTU.v2.0005903	ref_mOTU_v2_2209
COG0495.mOTU.v2.0001343	ref_mOTU_v2_1515
COG0016.mOTU.v2.0005362	ref_mOTU_v2_1709
COG0541.mOTU.v2.0005317	ref_mOTU_v2_3471
COG0018.mOTU.v2.0005063	ref_mOTU_v2_2544
COG0215.mOTU.v2.0007167	ref_mOTU_v2_2022
COG0533.mOTU.v2.0003710	meta_mOTU_v2_6106
COG0495.mOTU.v2.0007200	meta_mOTU_v2_6183
COG0495.mOTU.v2.0009051	meta_mOTU_v2_7246
COG0215.mOTU.v2.0003286	meta_mOTU_v2_7775
COG0495.mOTU.v2.0001537	ref_mOTU_v2_0220
COG0215.mOTU.v2.0001472	ref_mOTU_v2_1406
COG0012.mOTU.v2.0007504	meta_mOTU_v2_6614
COG0016.mOTU.v2.0003098	meta_mOTU_v2_5506
COG0016.mOTU.v2.0010382	meta_mOTU_v2_6980
COG0018.mOTU.v2.0003985	ref_mOTU_v2_0892
COG0533.mOTU.v2.0007562	meta_mOTU_v2_7245
COG0172.mOTU.v2.0002409	meta_mOTU_v2_6244
COG0215.mOTU.v2.0006142	ref_mOTU_v2_2354
COG0533.mOTU.v2.0008198	meta_mOTU_v2_7362
COG0541.mOTU.v2.0002576	meta_mOTU_v2_6604
COG0541.mOTU.v2.0000856	ref_mOTU_v2_0598
COG0172.mOTU.v2.0003740	meta_mOTU_v2_6894
COG0016.mOTU.v2.0001500	ref_mOTU_v2_4776
COG0018.mOTU.v2.0008081	meta_mOTU_v2_6150
COG0172.mOTU.v2.0007055	ref_mOTU_v2_1947
COG0525.mOTU.v2.0007537	meta_mOTU_v2_6642
COG0525.mOTU.v2.0006737	meta_mOTU_v2_5918
COG0495.mOTU.v2.0002475	meta_mOTU_v2_7204
COG0215.mOTU.v2.0001897	meta_mOTU_v2_7735
COG0018.mOTU.v2.0008711	meta_mOTU_v2_5743
COG0215.mOTU.v2.0009846	meta_mOTU_v2_7799
COG0018.mOTU.v2.0009370	meta_mOTU_v2_7780
COG0172.mOTU.v2.0002612	meta_mOTU_v2_7770
COG0541.mOTU.v2.0000102	ref_mOTU_v2_0048
COG0533.mOTU.v2.0006256	ref_mOTU_v2_0913
COG0018.mOTU.v2.0001375	ref_mOTU_v2_0562
COG0016.mOTU.v2.0004766	ref_mOTU_v2_5007
COG0016.mOTU.v2.0000139	ref_mOTU_v2_0120
COG0172.mOTU.v2.0007840	meta_mOTU_v2_5603
COG0012.mOTU.v2.0004660	ref_mOTU_v2_3122
COG0215.mOTU.v2.0004470	ref_mOTU_v2_4438
COG0012.mOTU.v2.0001370	ref_mOTU_v2_0884
COG0215.mOTU.v2.0005917	ref_mOTU_v2_2134
COG0495.mOTU.v2.0006083	ref_mOTU_v2_2787
COG0525.mOTU.v2.0003035	ref_mOTU_v2_4741
COG0172.mOTU.v2.0001030	ref_mOTU_v2_0508
COG0541.mOTU.v2.0001872	meta_mOTU_v2_5681
COG0172.mOTU.v2.0000341	ref_mOTU_v2_0284
COG0016.mOTU.v2.0001133	ref_mOTU_v2_0559
COG0016.mOTU.v2.0005250	ref_mOTU_v2_4792
COG0541.mOTU.v2.0001189	ref_mOTU_v2_4483
COG0018.mOTU.v2.0004885	ref_mOTU_v2_4792
