ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_6452	Firmicutes	36.38451230570001	46.3703576584	39.62253230380001	80.17814683850001	34.2228986948	21.266906023599997	16.0529807504	25.149665446500002	104.891110639	61.7113162841
meta_mOTU_v2_6478	Firmicutes	0.0001	0.0001	0.8417568641	2.2625354237	0.0001	0.0001	0.0001	0.0001	3.2736238210000006	1.4679896499
meta_mOTU_v2_6484	Firmicutes	5.3903833046	2.9013407198000003	9.2111698574	11.4968580971	2.1033448715000005	6.7063053721	11.146109545	4.2888906293	19.6847931321	0.0001
meta_mOTU_v2_6509	Firmicutes	32.3417998273	29.848599624499997	48.5675592483	37.429933200600004	8.413079486	17.745902417699998	5.0214781689	8.5037365925	19.6412429261	10.7220765732
meta_mOTU_v2_6525	Firmicutes	0.0001	0.0001	0.0001	1.1417919499	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6557	Firmicutes	0.0001	0.0001	0.0001	1.1313177118	2.1214373005000002	0.5817166536999999	0.0001	0.0001	1.1010172374	3.0352441376000003
meta_mOTU_v2_6602	Firmicutes	5.0328645139	6.9894526432	6.089123732899999	22.1015328419	13.6421042357	14.722814100499999	11.1967157177	1.454999476	3.3028517123000003	1.6225043499
meta_mOTU_v2_6631	Firmicutes	5.219263199599999	0.0001	6.150800714199999	7.624562280299999	17.8286830074	6.4111196621	2.6705177951000003	1.4679896499	7.7425307158	3.1516074912
meta_mOTU_v2_6632	Firmicutes	0.0001	1.4133118118999999	0.8446392506	0.0001	0.0001	1.2300524249	0.0001	0.0001	1.0936940629	0.0001
meta_mOTU_v2_6657	Firmicutes	6.7379541307	2.9013407198000003	6.110677799199999	16.8238517324	3.1821059508	5.4904214514	6.1582386448	0.0001	1.0912746070000001	1.5510777433
meta_mOTU_v2_6672	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6127843756	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6676	Firmicutes	5.455344666799999	5.751830873099999	17.8289195671	6.669366162	1.021240626	8.81664972	23.5129930073	4.4037689497	21.727453408200002	16.2709757894
meta_mOTU_v2_6699	Firmicutes	0.0001	0.0001	4.1869499351999995	1.1235872947	4.0263116112	1.5586052094	0.5580309077	1.4255650935	2.1680600983000002	0.0001
meta_mOTU_v2_6700	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.5618436472999999	0.0001	0.0001	0.0001
